"","pmid","variable_name","variable_type","annotators","var_freq","precision"
"1","35102219","BLOOD PRESSURE","OUTCOME",10,4,0.4
"2","35102219","LONGITUDINAL BLOOD PRESSURE TRAJECTORIES","EXPOSURE",10,4,0.4
"3","35102219","AGE","COVARIATE",10,8,0.8
"4","35102219","HYPERTENSION","COVARIATE",10,9,0.9
"5","35102219","HYPOTENSION","COVARIATE",10,10,1
"6","35102219","BLOOD PRESSURE VARIABILITY","COVARIATE",10,9,0.9
"7","35102219","OTHER HEALTH PROBLEMS","COVARIATE",10,4,0.4
"8","35102219","HEALTH BEHAVIORS","COVARIATE",10,5,0.5
"9","33839636","DELIRIUM","OUTCOME",10,10,1
"10","33839636","NEUROLOGICAL PATHOLOGY","COVARIATE",10,7,0.7
"11","33839636","HYPERTENSION","COVARIATE",10,9,0.9
"12","33839636","RHEUMATOLOGIC DISEASES","COVARIATE",10,9,0.9
"13","33839636","POLYPHARMACY","COVARIATE",10,9,0.9
"14","33839636","DIURETICS","COVARIATE",10,3,0.3
"15","33839636","BENZODIAZEPINES","COVARIATE",10,4,0.4
"16","33839636","RESPIRATORY INFECTIONS","COVARIATE",10,5,0.5
"17","33839636","URINARY INFECTIONS","COVARIATE",10,5,0.5
"18","33839636","DEMENTIA","COVARIATE",10,6,0.6
"19","34611033","ACUTE ISCHEMIC STROKE","OUTCOME",10,3,0.3
"20","34611033","MALE GENDER","COVARIATE",10,1,0.1
"21","34611033","AGE","COVARIATE",10,10,1
"22","34611033","NATIONAL INSTITUTES OF HEALTH STROKE SCALE SCORE ON ADMISSION","COVARIATE",10,2,0.2
"23","34611033","ACTIVITIES OF DAILY LIVING SCALE ON FOLLOW-UP","COVARIATE",10,1,0.1
"24","34611033","MEDIAL TEMPORAL LOBE ATROPHY","COVARIATE",10,6,0.6
"25","34611033","HYPERTENSION","COVARIATE",10,6,0.6
"26","34611033","ATRIAL FIBRILLATION","COVARIATE",10,6,0.6
"27","33126696","DEPRESSION","OUTCOME",10,2,0.2
"28","33126696","DEPRESSION","EXPOSURE",10,10,1
"29","33126696","DYSLIPIDEMIA","EXPOSURE",10,10,1
"30","33126696","TYPE 2 DIABETES MELLITUS","EXPOSURE",10,9,0.9
"31","33126696","HYPERTENSION","EXPOSURE",10,10,1
"32","33126696","AGE","COVARIATE",10,10,1
"33","33126696","SEX","COVARIATE",10,8,0.8
"34","33126696","RACE/ETHNICITY","COVARIATE",10,2,0.2
"35","33126696","GDS SCORE","COVARIATE",10,1,0.1
"36","33126696","BARTHEL INDEX","COVARIATE",10,10,1
"37","33126696","PLACE OF RESIDENCE","COVARIATE",10,8,0.8
"38","33126696","AUTONOMY LEVEL","COVARIATE",10,1,0.1
"39","33126696","TREATMENT STATUS FOR DYSLIPIDEMIA","COVARIATE",10,1,0.1
"40","33126696","AD DIAGNOSIS CRITERIA","COVARIATE",10,1,0.1
"41","33126696","DIAGNOSIS OF DEPRESSION","COVARIATE",10,1,0.1
"42","33126696","DIAGNOSIS OF TYPE 2 DIABETES MELLITUS","COVARIATE",10,1,0.1
"43","36092174","NUTRITIONAL STATUS","OUTCOME",10,1,0.1
"44","36092174","RACE","COVARIATE",10,1,0.1
"45","36092174","GENDER","COVARIATE",10,10,1
"46","36092174","AGE","COVARIATE",10,10,1
"47","36092174","BMI","COVARIATE",10,6,0.6
"48","36092174","COMORBIDITIES","COVARIATE",10,9,0.9
"49","36092174","TRAUMA MECHANISM","EXPOSURE",10,2,0.2
"50","36092174","ANATOMICAL LOCATION","EXPOSURE",10,2,0.2
"51","36092174","TREATMENT","EXPOSURE",10,2,0.2
"52","33798213","HIGH BLOOD PRESSURE VARIABILITY","OUTCOME",10,9,0.9
"53","33798213","ANTIHYPERTENSIVE THERAPIES","EXPOSURE",10,4,0.4
"54","33798213","AGE","COVARIATE",10,10,1
"55","33798213","RENIN ANGIOTENSIN BLOCKERS","EXPOSURE",10,3,0.3
"56","33798213","BETA-BLOCKERS","EXPOSURE",10,2,0.2
"57","33798213","DIABETES","COVARIATE",10,7,0.7
"58","33798213","CHRONIC KIDNEY DISEASE","COVARIATE",10,9,0.9
"59","33798213","DEMENTIA","COVARIATE",10,9,0.9
"60","33798213","DEPRESSION","COVARIATE",10,9,0.9
"61","33798213","CHRONIC OBSTRUCTIVE PULMONARY DISEASE","COVARIATE",10,9,0.9
"62","33798213","PARKINSON'S DISEASE","COVARIATE",10,8,0.8
"63","31444142","BLOOD PRESSURE","OUTCOME",10,5,0.5
"64","31444142","SYSTOLIC BLOOD PRESSURE","EXPOSURE",10,8,0.8
"65","31444142","DIASTOLIC BLOOD PRESSURE","EXPOSURE",10,8,0.8
"66","31444142","AGE","COVARIATE",10,6,0.6
"67","31444142","GENDER","COVARIATE",10,6,0.6
"68","31444142","AMYLOID STATUS","COVARIATE",10,1,0.1
"69","31444142","ANTIHYPERTENSIVE MEDICATION USE","COVARIATE",10,7,0.7
"70","31444142","SMOKING STATUS","COVARIATE",10,8,0.8
"71","31444142","DIABETES STATUS","COVARIATE",10,1,0.1
"72","31444142","BODY MASS INDEX","COVARIATE",10,3,0.3
"73","31444142","ADULT SOCIOECONOMIC POSITION","COVARIATE",10,5,0.5
"74","31444142","CHILDHOOD COGNITION","COVARIATE",10,2,0.2
"75","31444142","TOTAL INTRACRANIAL VOLUME","COVARIATE",10,1,0.1
"76","31444142","APOE GENOTYPE","COVARIATE",10,3,0.3
"77","33067992","METABOLIC SYNDROME","OUTCOME",10,9,0.9
"78","33067992","PRESENCE OF METABOLIC SYNDROME","EXPOSURE",10,9,0.9
"79","33067992","METABOLIC SYNDROME COMPONENTS","EXPOSURE",10,2,0.2
"80","33067992","METABOLIC SYNDROME SEVERITY SCORE","EXPOSURE",10,6,0.6
"81","33067992","GENDER","COVARIATE",10,10,1
"82","33067992","AGE","COVARIATE",10,10,1
"83","33067992","EDUCATION","COVARIATE",10,10,1
"84","33067992","SMOKING","COVARIATE",10,2,0.2
"85","33067992","ALCOHOL CONSUMPTION","COVARIATE",10,10,1
"86","33067992","SYSTOLIC BLOOD PRESSURE","COVARIATE",10,1,0.1
"87","33067992","DIASTOLIC BLOOD PRESSURE","COVARIATE",10,1,0.1
"88","33067992","WAIST CIRCUMFERENCE","COVARIATE",10,7,0.7
"89","33067992","FASTING PLASMA GLUCOSE","COVARIATE",10,1,0.1
"90","33067992","TRIGLYCERIDE LEVELS","COVARIATE",10,7,0.7
"91","33067992","HDL CHOLESTEROL LEVELS","COVARIATE",10,6,0.6
"92","33067992","NUMBER OF METABOLIC SYNDROME COMPONENTS","COVARIATE",10,1,0.1
"93","33067992","CONSORTIUM TO ESTABLISH A REGISTRY FOR ALZHEIMER'S DISEASE NEUROPSYCHOLOGICAL BATTERY","COVARIATE",10,3,0.3
"94","33767305","OCULAR CIRCULATION EVALUATION","OUTCOME",10,6,0.6
"95","33767305","AGE","COVARIATE",10,9,0.9
"96","33767305","GENDER","COVARIATE",10,10,1
"97","33767305","SMOKING HISTORY","COVARIATE",10,10,1
"98","33767305","BODY MASS INDEX","COVARIATE",10,10,1
"99","33767305","SYSTOLIC BLOOD PRESSURE","COVARIATE",10,10,1
"100","33767305","DIASTOLIC BLOOD PRESSURE","COVARIATE",10,10,1
"101","33767305","HEART RATE","COVARIATE",10,10,1
"102","33767305","INTRAOCULAR PRESSURE","COVARIATE",10,8,0.8
"103","33767305","AXIAL LENGTH","COVARIATE",10,10,1
"104","33767305","CENTRAL RETINAL ARTERY EQUIVALENT","COVARIATE",10,7,0.7
"105","33767305","CENTRAL RETINAL VEIN EQUIVALENT","COVARIATE",10,7,0.7
"106","36389342","GAIT DOMAINS","OUTCOME",10,4,0.4
"107","36389342","AGE","COVARIATE",10,10,1
"108","36389342","SEX","COVARIATE",10,10,1
"109","36389342","EDUCATION","COVARIATE",10,10,1
"110","36389342","TOTAL INTRACRANIAL VOLUME","COVARIATE",10,9,0.9
"111","36389342","MILD COGNITIVE IMPAIRMENT","COVARIATE",10,8,0.8
"112","36389342","VASCULAR DISEASE","COVARIATE",10,9,0.9
"113","36389342","HYPERTENSION","COVARIATE",10,10,1
"114","36389342","DIABETES","COVARIATE",10,10,1
"115","36389342","MYOCARDIAL INFARCTION","COVARIATE",10,10,1
"116","36389342","GRAY MATTER VOLUME PATTERNS","EXPOSURE",10,1,0.1
"117","36389342","PARTICIPANT-SPECIFIC EXPRESSION SCORES","EXPOSURE",10,1,0.1
"118","36389342","BRAIN STRUCTURES","EXPOSURE",10,1,0.1
"119","30368247","METABOLIC PARAMETER VARIABILITY","OUTCOME",10,5,0.5
"120","30368247","BLOOD PRESSURE","EXPOSURE",10,5,0.5
"121","30368247","GLUCOSE","EXPOSURE",10,7,0.7
"122","30368247","CHOLESTEROL","EXPOSURE",10,5,0.5
"123","30368247","BODY MASS INDEX","EXPOSURE",10,5,0.5
"124","30368247","AGE","COVARIATE",10,10,1
"125","30368247","SEX","COVARIATE",10,10,1
"126","30368247","SMOKING","COVARIATE",10,10,1
"127","30368247","ALCOHOL CONSUMPTION","COVARIATE",10,10,1
"128","30368247","REGULAR EXERCISE","COVARIATE",10,10,1
"129","30368247","INCOME","COVARIATE",10,5,0.5
"130","30368247","DIABETES MELLITUS","COVARIATE",10,3,0.3
"131","30368247","HYPERTENSION","COVARIATE",10,3,0.3
"132","30368247","DYSLIPIDEMIA","COVARIATE",10,3,0.3
"133","30368247","ISCHEMIC HEART DISEASE","COVARIATE",10,5,0.5
"134","30368247","STROKE","COVARIATE",10,5,0.5
"135","30368247","DEPRESSION","COVARIATE",10,5,0.5
"136","30368247","BODY WEIGHT","COVARIATE",10,1,0.1
"137","37441712","CADASIL SEVERITY GRADE","OUTCOME",10,5,0.5
"138","37441712","HYPERTENSION","COVARIATE",10,10,1
"139","37441712","DIABETES MELLITUS","COVARIATE",10,10,1
"140","37441712","CORTICAL THICKNESS","EXPOSURE",10,9,0.9
"141","37441712","WHITE MATTER HYPERINTENSITY VOLUME","EXPOSURE",10,9,0.9
"142","33655975","COGNITIVE FUNCTION","OUTCOME",10,9,0.9
"143","33655975","BODY MASS INDEX","EXPOSURE",10,9,0.9
"144","33655975","FAT MASS INDEX","EXPOSURE",10,7,0.7
"145","33655975","TRUNK FAT MASS INDEX","EXPOSURE",10,8,0.8
"146","33655975","FAT-FREE MASS INDEX","EXPOSURE",10,8,0.8
"147","33655975","AGE","COVARIATE",10,9,0.9
"148","33655975","GENDER","COVARIATE",10,3,0.3
"149","33655975","EDUCATION PERIODS","COVARIATE",10,7,0.7
"150","33655975","LOCATION OF RESIDENCE","COVARIATE",10,9,0.9
"151","33655975","MARRIAGE","COVARIATE",10,5,0.5
"152","33655975","ANNUAL INCOME","COVARIATE",10,5,0.5
"153","33655975","DRINKING HABITS","COVARIATE",10,7,0.7
"154","33655975","SMOKING","COVARIATE",10,5,0.5
"155","33655975","HYPERTENSION","COVARIATE",10,8,0.8
"156","33655975","DIABETES MELLITUS","COVARIATE",10,6,0.6
"157","33655975","DYSLIPIDEMIA","COVARIATE",10,8,0.8
"158","33655975","DEPRESSION","COVARIATE",10,8,0.8
"159","33655975","OSTEOARTHRITIS","COVARIATE",10,7,0.7
"160","37830725","PHYSICAL CAPACITIES","EXPOSURE",10,5,0.5
"161","37830725","CENTRAL FAT ACCUMULATION","EXPOSURE",10,6,0.6
"162","37830725","HYPERGLYCEMIA","EXPOSURE",10,9,0.9
"163","37830725","DYSLIPIDEMIA","EXPOSURE",10,9,0.9
"164","37830725","HYPERTENSION","EXPOSURE",10,9,0.9
"165","37830725","FUNCTIONAL CAPACITY","COVARIATE",10,10,1
"166","37830725","NEUROMUSCULAR CAPACITY","COVARIATE",10,10,1
"167","37830725","AGE","COVARIATE",10,7,0.7
"168","37830725","GENDER","COVARIATE",10,6,0.6
"169","37830725","QUALITY OF LIFE","OUTCOME",10,1,0.1
"170","37830725","DEMENTIA","OUTCOME",10,2,0.2
"171","37698858","DEMENTIA","OUTCOME",10,4,0.4
"172","37698858","HYPERTENSION HISTORY","EXPOSURE",10,10,1
"173","37698858","ANTIHYPERTENSIVE USE","EXPOSURE",10,10,1
"174","37698858","BASELINE SYSTOLIC BLOOD PRESSURE","EXPOSURE",10,5,0.5
"175","37698858","BASELINE DIASTOLIC BLOOD PRESSURE","EXPOSURE",10,5,0.5
"176","37698858","AGE","COVARIATE",10,10,1
"177","37698858","SEX","COVARIATE",10,10,1
"178","37698858","RACIAL GROUP","COVARIATE",10,10,1
"179","37698858","EDUCATION","COVARIATE",10,9,0.9
"180","38229871","DEMENTIA","OUTCOME",10,6,0.6
"181","38229871","ARTERIAL HYPERTENSION","EXPOSURE",10,10,1
"182","38229871","HEART FAILURE","EXPOSURE",10,10,1
"183","38229871","KIDNEY DISEASE","EXPOSURE",10,10,1
"184","38229871","CANCER","EXPOSURE",10,10,1
"185","38229871","DIABETES","EXPOSURE",10,10,1
"186","38229871","ISCHEMIC HEART DISEASE","EXPOSURE",10,4,0.4
"187","38229871","CEREBROVASCULAR DISEASES","EXPOSURE",10,7,0.7
"188","38229871","PERIPHERAL VASCULAR DISEASES","EXPOSURE",10,8,0.8
"189","38229871","LEUKEMIA","EXPOSURE",10,9,0.9
"190","38229871","DYSLIPIDEMIA","EXPOSURE",10,7,0.7
"191","38229871","RESPIRATORY DISEASES","EXPOSURE",10,6,0.6
"192","38229871","RACE","COVARIATE",10,2,0.2
"193","31617930","ALZHEIMER DISEASE AGE AT SYMPTOMATIC ONSET","OUTCOME",10,4,0.4
"194","31617930","YEARS OF EDUCATION","COVARIATE",10,7,0.7
"195","31617930","BODY MASS INDEX","COVARIATE",10,10,1
"196","31617930","HISTORY OF CARDIOVASCULAR DISEASE","COVARIATE",10,6,0.6
"197","31617930","HYPERTENSION","COVARIATE",10,7,0.7
"198","31617930","HYPERCHOLESTEROLEMIA","COVARIATE",10,7,0.7
"199","31617930","DIABETES","COVARIATE",10,7,0.7
"200","31617930","DEPRESSION","COVARIATE",10,3,0.3
"201","31617930","TOBACCO USE","COVARIATE",10,9,0.9
"202","31617930","ALCOHOL USE","COVARIATE",10,1,0.1
"203","31617930","RACE/ETHNICITY","COVARIATE",10,5,0.5
"204","31617930","PATERNAL HISTORY OF DEMENTIA","COVARIATE",10,4,0.4
"205","31617930","MATERNAL HISTORY OF DEMENTIA","COVARIATE",10,4,0.4
"206","31617930","PARENTAL HISTORY OF EARLY-ONSET DEMENTIA","COVARIATE",10,9,0.9
"207","31617930","APOE Ε4 ALLELE STATUS","COVARIATE",10,7,0.7
"208","31617930","AD POLYGENIC RISK SCORES","COVARIATE",10,8,0.8
"209","31617930","MISSENSE OR FRAMESHIFT VARIANTS WITHIN GENES ASSOCIATED WITH AD PATHOGENESIS","COVARIATE",10,3,0.3
"210","29574441","ALZHEIMER'S DISEASE","OUTCOME",10,10,1
"211","29574441","MEDITERRANEAN DIET","EXPOSURE",10,3,0.3
"212","29574441","INSULIN SENSITIVITY","EXPOSURE",10,10,1
"213","29574441","OVERWEIGHT","EXPOSURE",10,3,0.3
"214","29574441","HYPERTENSION","EXPOSURE",10,5,0.5
"215","29574441","ELEVATED CHOLESTEROL","EXPOSURE",10,3,0.3
"216","29574441","ELEVATED HOMOCYSTEINE","EXPOSURE",10,1,0.1
"217","29574441","MEMORY","COVARIATE",10,4,0.4
"218","29574441","EXECUTIVE FUNCTION","COVARIATE",10,4,0.4
"219","29574441","LANGUAGE","COVARIATE",10,4,0.4
"220","29574441","AGE","COVARIATE",10,7,0.7
"221","29574441","GENDER","COVARIATE",10,7,0.7
"222","29574441","RACE & ETHNICITY","COVARIATE",10,1,0.1
"223","29574441","EDUCATION","COVARIATE",10,2,0.2
"224","29574441","APOE GENOTYPE","COVARIATE",10,1,0.1
"225","29574441","BMI","COVARIATE",10,5,0.5
"226","37203319","COVID-19 MORTALITY","OUTCOME",10,7,0.7
"227","37203319","AGE","COVARIATE",10,10,1
"228","37203319","ARTERIAL HYPERTENSION","COVARIATE",10,10,1
"229","37203319","CHRONIC RENAL FAILURE","COVARIATE",10,10,1
"230","37203319","DEMENTIA","COVARIATE",10,10,1
"231","37203319","CHRONIC OBSTRUCTIVE PULMONARY DISEASE","COVARIATE",10,10,1
"232","37203319","HEART FAILURE","COVARIATE",10,10,1
"233","37203319","PRIOR STROKE","COVARIATE",10,10,1
"234","37203319","CHARLSON INDEX","COVARIATE",10,10,1
"235","37203319","WAVE 2","COVARIATE",10,5,0.5
"236","37203319","WAVE 3","COVARIATE",10,3,0.3
"237","37203319","WAVE 4","COVARIATE",10,4,0.4
"238","37203319","GLUCOCORTICOID TREATMENT","COVARIATE",10,9,0.9
"239","30180830","PHYSICAL FITNESS","OUTCOME",10,5,0.5
"240","30180830","APOE Ε4 STATUS","COVARIATE",10,4,0.4
"241","30180830","AGE","COVARIATE",10,10,1
"242","30180830","SEX","COVARIATE",10,10,1
"243","30180830","HEIGHT","COVARIATE",10,10,1
"244","30180830","CHILDHOOD IQ","COVARIATE",10,8,0.8
"245","30180830","SMOKING","COVARIATE",10,7,0.7
"246","30180830","HISTORY OF CARDIOVASCULAR OR CEREBROVASCULAR DISEASE","COVARIATE",10,10,1
"247","30180830","HYPERTENSION","COVARIATE",10,8,0.8
"248","30180830","DIABETES","COVARIATE",10,6,0.6
"249","30180830","FEV1","EXPOSURE",10,4,0.4
"250","30180830","GRIP STRENGTH","EXPOSURE",10,10,1
"251","30180830","WALKING SPEED","EXPOSURE",10,9,0.9
"252","36699985","DEMENTIA","OUTCOME",10,9,0.9
"253","36699985","AGE","COVARIATE",10,10,1
"254","36699985","GENDER","COVARIATE",10,10,1
"255","36699985","SEVERITY OF CLINICAL DEMENTIA RATING","COVARIATE",10,8,0.8
"256","36699985","FEEDING","COVARIATE",10,10,1
"257","36699985","HYPNOTICS","COVARIATE",10,10,1
"258","36699985","MOBILITY","COVARIATE",10,10,1
"259","36699985","GETTING LOST","COVARIATE",10,10,1
"260","36699985","MOOD SYMPTOMS","COVARIATE",10,10,1
"261","36699985","BEHAVIORAL AND PSYCHOLOGICAL SYMPTOMS","COVARIATE",10,10,1
"262","36699985","CARE NEEDS","EXPOSURE",10,5,0.5
"263","36699985","SOCIAL RESOURCES REFERRAL AND LEGAL SUPPORT","EXPOSURE",10,2,0.2
"264","36699985","DRUG KNOWLEDGE EDUCATION","EXPOSURE",10,2,0.2
"265","36699985","MEMORY PROBLEM CARE","EXPOSURE",10,2,0.2
"266","36699985","FALL PREVENTION","EXPOSURE",10,2,0.2
"267","36699985","DISEASE KNOWLEDGE EDUCATION","EXPOSURE",10,2,0.2
"268","36699985","HYPERTENSION CARE","EXPOSURE",10,2,0.2
"269","36699985","CARE FOR THE MOOD OF THE CAREGIVER","EXPOSURE",10,2,0.2
"270","34176293","BLOOD PRESSURE VARIABILITY","EXPOSURE",10,6,0.6
"271","34176293","SEX","COVARIATE",10,9,0.9
"272","34176293","AVERAGE BLOOD PRESSURE","COVARIATE",10,9,0.9
"273","34176293","ANTIHYPERTENSIVE DRUGS","COVARIATE",10,9,0.9
"274","34176293","DEMENTIA","OUTCOME",10,3,0.3
"275","34176293","COGNITIVE DECLINE","OUTCOME",10,6,0.6
"276","37711969","BLOOD PRESSURE VARIABILITY","OUTCOME",10,6,0.6
"277","37711969","AGE","COVARIATE",10,9,0.9
"278","37711969","GENDER","COVARIATE",10,3,0.3
"279","37711969","ANTIHYPERTENSIVE TREATMENT","COVARIATE",10,8,0.8
"280","37711969","EXECUTIVE FUNCTIONING","EXPOSURE",10,2,0.2
"281","37711969","ARTERIAL STIFFNESS","EXPOSURE",10,3,0.3
"282","37711969","ATTENTION","EXPOSURE",10,1,0.1
"283","37711969","PSYCHOMOTOR SPEED","EXPOSURE",10,1,0.1
"284","37711969","CIRCADIAN PATTERNS","EXPOSURE",10,1,0.1
"285","37711969","DAY-TO-DAY BPV","EXPOSURE",10,2,0.2
"286","37711969","TRANSCRANIAL DOPPLER SONOGRAPHY","COVARIATE",10,1,0.1
"287","37711969","PULSE WAVE ANALYSIS","COVARIATE",10,1,0.1
"288","37711969","PULSE WAVE VELOCITY","COVARIATE",10,1,0.1
"289","35897033","TYPE 2 DIABETES MELLITUS","OUTCOME",10,5,0.5
"290","35897033","AGE","COVARIATE",10,10,1
"291","35897033","GENDER","COVARIATE",10,7,0.7
"292","35897033","SCHOOLING","COVARIATE",10,7,0.7
"293","35897033","ARTERIAL HYPERTENSION","COVARIATE",10,10,1
"294","35897033","DEPRESSION SYMPTOMS","COVARIATE",10,10,1
"295","35897033","DIABETIC RETINOPATHY","COVARIATE",10,10,1
"296","35897033","DM DURATION","COVARIATE",10,4,0.4
"297","35897033","CARDIOVASCULAR DISEASE","COVARIATE",10,10,1
"298","35533660","SUBJECTIVE COGNITIVE DECLINE","OUTCOME",10,10,1
"299","35533660","PHYSICAL ACTIVITY","EXPOSURE",10,10,1
"300","35533660","HYPERTENSION","EXPOSURE",10,9,0.9
"301","35533660","VISION PROBLEMS","EXPOSURE",10,9,0.9
"302","35533660","DEPRESSION","COVARIATE",10,7,0.7
"303","35533660","PERCEIVED SOCIAL STATUS","COVARIATE",10,7,0.7
"304","35533660","PERSONALITY TRAITS","COVARIATE",10,7,0.7
"305","35533660","AGE","COVARIATE",10,10,1
"306","35533660","GENDER","COVARIATE",10,10,1
"307","35533660","SEXUALITY","COVARIATE",10,10,1
"308","34872609","BODY HEIGHT","EXPOSURE",10,9,0.9
"309","34872609","COGNITIVE IMPAIRMENT","OUTCOME",10,9,0.9
"310","34872609","AGE","COVARIATE",10,7,0.7
"311","34872609","EDUCATIONAL ATTAINMENT","COVARIATE",10,10,1
"312","34872609","SMOKING STATUS","COVARIATE",10,10,1
"313","34872609","DRINKING STATUS","COVARIATE",10,10,1
"314","34872609","HYPERTENSION","COVARIATE",10,10,1
"315","34872609","DIABETES","COVARIATE",10,10,1
"316","34872609","HYPERCHOLESTEROLEMIA","COVARIATE",10,10,1
"317","38443972","CARDIOMETABOLIC DISORDERS","OUTCOME",10,7,0.7
"318","38443972","AGE","COVARIATE",10,10,1
"319","38443972","SEX","COVARIATE",10,10,1
"320","38443972","EDUCATION","COVARIATE",10,10,1
"321","38443972","MARITAL STATUS","COVARIATE",10,10,1
"322","38443972","SMOKING","COVARIATE",10,9,0.9
"323","38443972","INCOME","COVARIATE",10,10,1
"324","38443972","PHYSICAL ACTIVITY","COVARIATE",10,10,1
"325","38443972","DEMENTIA","COVARIATE",10,10,1
"326","38443972","HYPERLIPIDEMIA","EXPOSURE",10,5,0.5
"327","38443972","HYPERTENSION","EXPOSURE",10,5,0.5
"328","38443972","DIABETES","EXPOSURE",10,5,0.5
"329","37079031","COGNITIVE DECLINE","OUTCOME",10,2,0.2
"330","37079031","MACULAR THICKNESS","EXPOSURE",10,5,0.5
"331","37079031","INNER RETINAL LAYER THICKNESS","EXPOSURE",10,1,0.1
"332","37079031","SMOKING STATUS","COVARIATE",10,9,0.9
"333","37079031","AGE","COVARIATE",10,10,1
"334","37079031","SEX","COVARIATE",10,10,1
"335","37079031","EDUCATION","COVARIATE",10,6,0.6
"336","36265125","COVID-19 INFECTION RATE","EXPOSURE",10,1,0.1
"337","36265125","COVID-19 SEVERITY","OUTCOME",10,1,0.1
"338","36265125","AGE","COVARIATE",10,8,0.8
"339","36265125","SEX","COVARIATE",10,8,0.8
"340","36265125","CHARLSON COMORBIDITY INDEX","COVARIATE",10,8,0.8
"341","36265125","MEDICATION","COVARIATE",10,7,0.7
"342","36265125","PULMONARY DISEASE","EXPOSURE",10,10,1
